numero     año        mes        Amauta/LibrNombre de STipología GTipología PAutor      Sexo       Título     Acompañado Pág.       Ciudad     País       Región     Técnica    Nombre de INombre de APág        País       Tipología  Nombre del A cargo de:Domicilio  Ciudad     País       OBS.       
1          1926       Septiembre Amauta     General    Publicidad Bien y/o SeNA         NA         NA         Individual Cubierta InLima       Perú       América Lat           NA         NA         NA         NA         Bien y/o SeBanco InterNM         NM                                          
1          1926       Septiembre Amauta     General    Publicidad Bien y/o SeNA         NA         NA         Individual Cubierta InLima       Perú       América Lat           NA         NA         NA         NA         Bien y/o SeThe ideal sNM         Ca. Jesús N                                 
1          1926       Septiembre Amauta     General    Publicidad Bien y/o SeNA         NA         NA         Individual Cubierta InLima       Perú       América Lat           NA         NA         NA         NA                    Banco AlemáNM         Calle de la                                 
1          1926       Septiembre Amauta     General    Publicidad Bien y/o SeNA         NA         NA         Individual 1          Lima       Perú       América Lat           NA         NA         NA         NA                    CIA de SeguGallagher, Calle de la                                 
1          1926       Septiembre Amauta     General    Publicidad Bien y/o SeNA         NA         NA         Individual 1          Lima       Perú       América Lat           NA         NA         NA         NA                    Compañía NoNM         Filipinas 5                                 
1          1926       Septiembre Amauta     General    Publicidad Bien y/o SeNA         NA         NA         Individual 2          Lima       Perú       América Lat           NA         NA         NA         NA                    Compañía InNM         Calle de Sa                                 
1          1926       Septiembre Amauta     General    Texto      Editorial  Mariátegui,Hombre     PresentacióIndividual 3          Lima       Perú       América Lat           NA         NA         NA         NA         Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Xilografía Sabogal, JoHombre     Xilografía:Acompañado 4          NM         Perú       América Lat           idem       idem                             Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteValcárcel, Hombre     Tempestad eAcompañado 4-6        Cusco      Perú       América Lat           India CcollJosé Saboga4          Perú                  NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteSánchez ViaHombre     La cultura Individual 7-8        La Plata   Argentina  América Lat           NA         NA         NA         NA                    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Dibujo     Anónimo    NM         DzerchinskyAcompañado 8          NM         Rusia      Europa                idem       idem                                        NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Poesía     Eguren, JosHombre     Canción de Acompañado 8          Lima       Perú       América Lat           Dzerchinsky           8          Rusia                 NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteOrrego, AntHombre     El personajAcompañado 9-10       Trujillo   Perú       América Lat           Antenor OrrEssquerrilo9          Perú       Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Xilografía EssquerriloHombre     Dibujo de AAcompañado 9          NM         Perú       América Lat           idem       idem                             Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         Buenos AireArgentina  América Lat           NA         NA         NA         NA                    Martín FierNM         Victoria 34                                 
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         La Coruña  España     Europa                NA         NA         NA         NA                    Alfar. ReviJulio J. CaCanton Pequ                                 
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         La Plata   Argentina  América Lat           NA         NA         NA         NA                    Sagitario. Carlos A.Am                                            
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         Lima       Perú       América Lat           NA         NA         NA         NA                    Poliedro. RArmando BazApartado 21                                 
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         Buenos AireArgentina  América Lat           NA         NA         NA         NA                    Revista de NM         Sarmiento 2                                 
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         Buenos AireArgentina  América Lat           NA         NA         NA         NA                    El estudianNM         Marqués de                                  
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         San José deCosta Rica América Lat           NA         NA         NA         NA                    Repertorio Joaquín GarNM                                          
1          1926       Septiembre Amauta     General    Publicidad Revista    NA         NA         NA         Individual 10         Roma       Italia     Europa                NA         NA         NA         NA                    Index: periBragaglia  Via vignone                                 
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteFreud, SigmHombre     ResistenciaAcompañado 11-13      NM         Austria    Europa                El profesorCarlos Rayg11         Perú       Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Dibujo     Raygada, CaHombre     El profesorAcompañado 11         NM         Perú       América Lat           idem       idem                             Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteFreud, SigmHombre     ResistenciaAcompañado 11-13      NM         Austria    Europa                Imagen sin Sin autor  13         Perú       Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Dibujo     Anónimo    NM         Imagen sin Acompañado 13         NM         Perú       América Lat           idem       idem                             Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Poesía     Hidalgo, AlHombre     Ubicación dIndividual 14         Buenos AireArgentina  América Lat           NA         NA         NA         NA         Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteRoe, CarlosHombre     Gregorio MaIndividual 15         NM         Perú       América Lat           NA         NA         NA         NA         Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteMercado, GuHombre     Carta a losIndividual 16         Arequipa   Perú       América Lat           NA         NA         NA         NA         Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Cuento     Istrati, PaHombre     Spilca, el Individual 17-19      Bucarest   Rumania    Europa                NA         NA         NA         NA         Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     CarboncilloPettoruti, Hombre     AutorretratAcompañado 19         NM                    América Lat           idem       idem                             Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Poesía     Bazán, ArmaHombre     Poema: VigiAcompañado 19         Lima       Perú       América Lat           AutorretratEmilio Pett19         Argentina  Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Xilografía Pantigoso, Hombre     Dibujo de AAcompañado 20         NM         Perú       América Lat           idem       idem                             Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Poesía     Peralta, AlHombre     Poema: CrisAcompañado 20         Puno       Perú       América Lat           Dibujo de AManuel Domi20         Perú       Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Poesía     Peralta, AlHombre     Poema: El IAcompañado 20         Puno       Perú       América Lat           Dibujo de AManuel Domi20         Perú       Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Poesía     Spelucín, AHombre     Poema: La cAcompañado 21         La LibertadPerú       América Lat           Alcides SpeEssquerrilo21         Perú       Revista    NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Dibujo     EssquerriloHombre     Alcides SpeAcompañado 21         NM         Perú       América Lat           idem       idem                             NM         NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Xilografía Anónimo    NM         Imagen sin Acompañado 21         NM         NM         América Lat           idem       idem                             NM         NM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteMayer de ZuMujer      Lo que ha sIndividual 22-24      Lima       Perú       América Lat           NA         NA         NA         NA         Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteGrosz, GeorHombre     El arte y lAcompañado 25-28      Berlín     Alemania   Europa                Rendez VousGrosz, Geor25         Alemania   Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Dibujo     Grosz, GeorHombre     Rendez VousAcompañado 25         Berlín     Alemania   Europa                idem       idem                             Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteGrosz, GeorHombre     El arte y lAcompañado 25-28      Berlín     Alemania   Europa                Despertar dGrosz, Geor26         Alemania   Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Dibujo     Grosz, GeorHombre     Despertar dAcompañado 26         Berlín     Alemania   Europa                idem       idem                             Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Imagen     Dibujo     Grosz, GeorHombre     El ejércitoAcompañado 27         Berlín     Alemania   Europa                idem       idem                             Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LiteGrosz, GeorHombre     El arte y lIndividual 25-28      Berlín     Alemania   Europa                El ejércitoGrosz, Geor27         Alemania   Bien y/o SeNM         NM         NM                                          
1          1926       Septiembre Amauta     General    Texto      Ensayo LitePérez ReinoHombre     La iglesia Individual 29         NM         Perú       América Lat           NA         NA         NA         NA         NM         NM         NM         NM                                          
