PERSON_ID,COURSE_CD,COURSE_TITLE,RESPONSIBLE_ORG_UNIT,RESEARCH_ORG_UNIT,TITLE,COURSE_ATTEMPT_STATUS,FEE_CAT,COURSE_TOTAL_EFTSU,CURRENT_EFTSU,RES_EFTSU_TO_DATE,HIGH_COST_LOW_COST,RFCD_1_DESC,RFCD_1_PRCNT,SEO_1_CODE,SEO_1_DESC,SEO_1_PRCNT
3061748,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,FCY-HLT,Mr,DISCONTIN,DOM-10,3,0.5,0.5,HIGHCOST,HEALTH PROMOTION,100,730213,PREVENTIVE MEDICINE,100
3061808,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BGL,Mr,DISCONTIN,INT-11,3,0.5,1.75,LOWCOST,"OTHER INFORMATION, COMPUTING AND COMMUNICATION SCIENCES",100,720299,MICROECONOMIC ISSUES NOT ELSEWHERE CLASSIFIED,100
3061808,859AA,Master of Business (Research),FCY-BGL,FCY-BGL,Mr,COMPLETED,INT-11,2,0.5,0.5,LOWCOST,"OTHER INFORMATION, COMPUTING AND COMMUNICATION SCIENCES",100,720299,MICROECONOMIC ISSUES NOT ELSEWHERE CLASSIFIED,100
3062032,254HC,Doctor of Philosophy,RESSERV,FCY-HLT,Ms,ENROLLED,DOM-14,3.5,0.5,1.5,HIGHCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3062310,914AA,Professional Doctorate in Legal Science (Research),FCY-BGL,FCY-BGL,Mr,ENROLLED,INT-11,3,0.5,4.5,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3062407,958AA,Doctor of Philosophy in Clinical Psychology,FCY-HLT,FCY-HLT,Mr,ENROLLED,DOM-11,4.5,0.25,6.608,HIGHCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3062410,896AA,Master of Sports Science (Research),FCY-HLT,FCY-HLT,Mr,COMPLETED,DOM-12,2,0.5,2.5,,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3062473,246AA,Doctor of Philosophy in Communication,FCY-AAD,FCY-AAD,Ms,ENROLLED,DOM-11,3,0.25,3.5,LOWCOST,PROFESSIONAL CREATIVE WRITING,100,780199,OTHER NON-ORIENTED RESEARCH,100
3062633,851AA,Professional Doctorate in Business Administration (Research),FCY-BGL,FCY-BGL,Mr,ENROLLED,DOM-11,3,0.25,3.25,LOWCOST,MANAGEMENT ACCOUNTING,100,720403,MANAGEMENT,100
3062649,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,IAE,Mr,INACTIVE,INT-11,3,0.5,4,HIGHCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3062657,244AD,Doctor of Philosophy in Economics,FCY-BGL,IGPA,Ms,ENROLLED,INT-11,3,0.25,4.25,LOWCOST,ECONOMICS NOT ELSEWHERE CLASSIFIED,100,720199,MACROECONOMIC ISSUES NOT ELSEWHERE CLASSIFIED,100
3062775,235AA,Doctor of Philosophy (Information Sciences and Engineering),RESSERV,FCY-ETM,Mr,COMPLETED,INT-11,3,0.5,4,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3062839,853AA,Doctor of Philosophy in Management,FCY-BGL,FCY-BGL,Mr,ENROLLED,INT-11,3,0.5,4,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3063169,324AA,Professional Doctorate in Public Administration (Research),FCY-BGL,FCY-BGL,Miss,ENROLLED,INT-12,3,0.5,4,LOWCOST,"OTHER COMMERCE, MANAGEMENT, TOURISM AND SERVICES",100,720403,MANAGEMENT,100
3063361,853AA,Doctor of Philosophy in Management,FCY-BGL,FCY-BGL,Mr,ENROLLED,INT-12,3,0.5,3.5,LOWCOST,"OTHER COMMERCE, MANAGEMENT, TOURISM AND SERVICES",100,720403,MANAGEMENT,100
3063528,232AA,Doctor of Philosophy (Applied Science),FCY-ETM,FCY-ETM,Mrs,ENROLLED,DOM-11,3,0.25,3.75,HIGHCOST,BIOCHEMISTRY AND CELL BIOLOGY NOT ELSEWHERE CLASSIFIED,100,730108,CANCER AND RELATED DISORDERS,100
3063711,235AA,Doctor of Philosophy (Information Sciences and Engineering),RESSERV,FCY-ETM,Mr,COMPLETED,DOM-11,3,0.5,3.5,LOWCOST,FOS NOT APPLICABLE,100,0,SEO CLASSIFICATION NOT SPECIFIED,100
3063712,208AA,Doctor of Philosophy (Education),FCY-ETM,FCY-ETM,Ms,ENROLLED,DOM-11,3,0.5,4,LOWCOST,TEACHER EDUCATION: EARLY CHILDHOOD,100,740101,EARLY CHILDHOOD EDUCATION,100
